species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,species_class,group_living,brain_mass_g,adult_body_mass_g,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk,HAQER_sequence_similarity,HAR_sequence_similarity
Noctilio_leporinus,Greater bulldog bat,suspected_vocal_learner,1,Non-primates,1,1.184,59.16,NA,NA,NA,47.15570341579103,82.23638030690279
Carollia_perspicillata,Seba's short-tailed bat,high_confidence_vocal_learner,1,Non-primates,1,0.50867,17.07,4.89,19.23,-0.009896037469724,46.76711491227762,83.05437342788132
Desmodus_rotundus,Common vampire bat,high_confidence_vocal_learner,1,Non-primates,1,0.916,33.26,6.94,33.16,0.06264493353896342,47.39112487100103,83.62502614776226
Anoura_caudifer,Tailed tailless bat,suspected_vocal_learner,1,Non-primates,NA,0.4225,10.5,2.14,10.81,-0.9679999370644208,47.36206896551724,83.2681582365964
Micronycteris_hirsuta,Hairy big-eared bat,suspected_vocal_learner,1,Non-primates,NA,NA,NA,NA,NA,NA,47.00568763786491,83.33300029640287
Tonatia_saurophila,Stripe-headed round-eared bat,suspected_vocal_learner,1,Non-primates,NA,NA,NA,NA,NA,NA,47.14417367082643,83.31919621324765
Artibeus_jamaicensis,Jamacian fruit-eating bat,suspected_vocal_learner,1,Non-primates,1,0.98025,39.33,10.57,43.63,0.37671467647956014,46.76972864077496,82.70035092864451
Rhinolophus_sinicus,Chinese rufous horseshoe bat,high_confidence_vocal_learner,1,Non-primates,NA,NA,NA,NA,NA,NA,48.71555408975284,85.42480969306497
Eptesicus_fuscus,Big brown bat,suspected_vocal_learner,1,Non-primates,1,0.21433,11.23,3.21,17.49,-0.5801204651059089,46.76703510451079,82.5951524074377
Lasiurus_borealis,Eastern red bat,suspected_vocal_learner,1,Non-primates,0,0.17,7.7,4.29,12.33,0.17916750262281425,45.94261649874055,81.08260095806001
Miniopterus_natalensis,Atal long-fingered bat,suspected_vocal_learner,1,Non-primates,NA,NA,NA,3,10.43,-0.31110588931725297,47.68265076640824,83.67660127087514
Miniopterus_schreibersii,Common bent-wing bat,suspected_vocal_learner,1,Non-primates,NA,0.2703,11.78,2.86,11.46,-0.4773177905155569,47.89161250703648,83.67009778864688
Myotis_brandtii,Brandt's bat,high_confidence_vocal_learner,1,Non-primates,1,NA,NA,NA,NA,NA,47.43513271696988,83.23190623628362
Myotis_davidii,David's myotis,suspected_vocal_learner,1,Non-primates,NA,NA,NA,NA,NA,NA,47.09280604680612,82.65024892561368
Myotis_lucifugus,Little brown bat,suspected_vocal_learner,1,Non-primates,1,0.16133,8,2.18,7.8,-0.7043079079261657,47.549431537320814,83.26299342387665
Myotis_myotis,Greater mouse-eared bat,high_confidence_vocal_learner,1,Non-primates,1,0.489,27.92,6,25.59,0.05970946480729172,47.48094753980569,82.93176356058531
Pipistrellus_pipistrellus,Common pipistrelle,high_confidence_vocal_learner,1,Non-primates,1,NA,NA,1.28,5.3,-1.7246874692124432,45.01685023836923,81.04360991050063
Erinaceus_europaeus,Western european hedgehog,non_vocal_learner,0,Non-primates,0,NA,NA,15.54,777.95,-0.5599387871303392,40.14286633631508,79.93678119678165
Solenodon_paradoxus,Hispaniolan solenodon,non_vocal_learner,0,Non-primates,1,4.67,900,89.99,899.99,0.5397605416910685,47.41690804896252,84.92930770416478
Sorex_araneus,Common shrew,non_vocal_learner,0,Non-primates,0,0.23,8.9,0.42,9.18,-4.103132249484656,37.58282551878971,80.2974684212564
Condylura_cristata,Star-nosed mole,non_vocal_learner,0,Non-primates,0,1.37,50,1.5,48.15,-1.9159512825849871,41.18905127291147,83.1292247403872
Scalopus_aquaticus,Eastern mole,non_vocal_learner,0,Non-primates,0,1.48,39.6,5.35,87.15,-0.7219790433239741,43.49263021803253,84.38891157509991
Uropsilus_gracilis,Gracile shrew mole,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,43.19803836464761,82.88579846949214
Equus_asinus,African wild ass,non_vocal_learner,0,Non-primates,NA,434,234000,29249.99,164998.49,1.3975506708029974,51.602831600751955,88.16022738927226
Equus_caballus,Horse,non_vocal_learner,0,Non-primates,1,693,340722,37899.99,403598.53,1.2244684443433225,51.34519942689728,87.89842826581746
Equus_przewalskii,Przewalski's horse,non_vocal_learner,0,Non-primates,NA,NA,NA,NA,NA,NA,51.57387481939484,88.00162733930024
