FID,IID,molecular_sex,lat,long,assessment,sample_age,sample_age_GRM_adj,cp_pgs.HAQER,cp_pgs.background,cp_pgs.matched
2965,I12411,F,53.919396,-0.766635,PASS,2175,1463,0.24242491464166213,0.17667330496847275,0.7148778499875744
2966,I12413,M,53.919396,-0.766635,PASS,2175,1481,-0.1556129322954012,0.6694079249976552,0.9733824178570252
2967,I12414,F,53.919396,-0.766635,PASS,2175,1445,-0.08391220982850477,1.5517419304088267,0.2707306112450597
2968,I12415,F,53.919396,-0.766635,PASS,2175,1488,1.7244072282232221,0.1692897882415055,-1.529533970090929
2969,I13751,F,53.919396,-0.766635,PASS,2175,1287,0.8573341742199613,-0.5212343936648546,0.32463152688614855
2970,I13753,M,53.919396,-0.766635,PASS,2175,1236,-0.11149850656547278,-1.1456264423423317,-1.4188348943105185
2971,I13754,M,53.919396,-0.766635,PASS,2175,1694,-0.2299329182144882,1.6108446097911395,0.8607611774586792
2973,I13756,F,53.919396,-0.766635,PASS,2175,1137,1.773902897709025,0.7955333509086169,0.18307171365228403
2974,I13757,F,53.919396,-0.766635,PASS,2175,1187,0.7172010745720341,1.0213783185716516,-1.2366696357565932
2975,I13759,M,53.919396,-0.766635,PASS,2175,1407,0.0360409253863012,1.8417141484169355,0.2930085230537576
2976,I13760,M,53.919396,-0.766635,PASS,2175,821,1.103799780573018,0.077582760956458,-0.3206105882124818
2977,I14099,F,53.919396,-0.766635,PASS,2175,1860,1.19134054559979,1.3802390062964573,-0.2539739456763657
2978,I14101,F,53.919396,-0.766635,PASS,2175,2208,-0.4743436717909716,7.776961562796074e-4,0.5959727063611205
2979,I14102,M,53.919396,-0.766635,PASS,2175,1299,-1.3504737612862172,-1.888364351622139,0.20137217043063238
2981,I14104,M,53.919396,-0.766635,PASS,2175,1781,0.5280216836096503,0.7565966897800577,0.713097774515221
2982,I14105,M,53.919396,-0.766635,PASS,2175,1635,0.38961235519484766,0.6744341006953507,-0.244029994696607
2983,I14108,F,53.919396,-0.766635,PASS,2175,1780,-0.019304859787652156,-0.08867714400315944,-2.102125047689443
2984,I14327,M,54.12647222,-0.287966667,PASS,2081,1217,-0.575838064851119,1.8142498686266986,0.6095283495983679
2985,I22052,F,54.12647222,-0.287966667,PASS,2104,1258,-0.03287096624660172,1.3008352191559638,1.128557741283248
2986,I22060,M,54.09468889,-0.281613889,PASS,2074,1475,0.8997486470499844,-0.05372981015456056,0.5969777108619072
2987,I22065,M,53.734309,-0.141121,PASS,2149,1308,0.14066548399028939,1.0061874454446984,-1.4395071644359747
2988,I5503,F,53.916717,-0.666972,PASS,2065,1275,1.4384713931001207,0.09481195380784078,1.5061578170239875
2990,I5505,M,53.919396,-0.766635,PASS,2175,1801,0.7592805850788645,0.19817204099625865,0.285741444586747
2991,I5506,F,53.919396,-0.766635,PASS,2202,1735,1.4850295601306958,0.8577164065273795,-0.535172474461993
2992,I5508,M,53.919396,-0.766635,PASS,2175,1709,1.2578551675964453,-0.60334393896575,-0.05087287158244006
2993,I13752,F,53.919396,-0.766635,PASS,2121,1117,0.3654074727773526,-0.2508145140948108,1.0733968793447768
2995,I27380,M,50.872397,-0.89596028,PASS,4228,2310,-0.1833688709886212,1.8636390436891446,-1.7579708594988506
2996,I12935,M,51.697969,-1.692092,PASS,4000,2549,-0.3388664481327887,0.5881764322985439,1.4010838876289073
2998,I11149,M,52.198919,0.180799,PASS,2443,2136,-0.34792622199853535,0.34903379942947205,0.8446554417558094
2999,I11154,F,52.170279,0.105604,PASS,2469,2864,-0.4204845357123569,-0.8976683148223539,-0.1480736693001387
3000,I11995,F,51.0128,-2.3152,PASS,2457,1593,-1.1893716905873652,0.8259643771134905,-0.42046797439845907
3002,I12783,M,51.697969,-1.692092,PASS,2599,1261,1.5502406626722327,0.7582980297568866,0.8753002316690556
3003,I12787,F,51.697969,-1.692092,PASS,2391,2438,-0.4883308032158132,1.7003672718842813,1.026240243612205
3004,I13682,M,51.264052,-2.405024,PASS,2612,2372,0.6657922870902343,0.5188819062895939,0.9133581462595954
3005,I13684,F,51.176318,-2.796919,PASS,2408,2121,-0.40487084606868257,0.023720285146513323,-0.5307770939887332
3006,I13688,F,51.052725,-1.7862875,PASS,2589,1805,-0.8572716466033694,-0.4394451242797491,-0.4801546541443879
3007,I13689,M,51.052725,-1.7862875,PASS,2531,990,0.6449784898067394,-1.3749210941040835,-0.8198632082301175
3009,I14381,F,51.329195,1.3693088,PASS,2443,1978,0.5883420058677657,-0.3882179004126139,1.5784258354608247
3018,I17258,F,51.136489,-1.494026,PASS,2415,1601,-0.9167196006875196,-1.1058654288782728,0.6277714412021808
3019,I17259,M,51.136489,-1.494026,PASS,2438,2018,1.8295228081165404,-0.46990643620937383,0.43962158966844156
3020,I17260,M,51.136489,-1.494026,PASS,2550,1937,0.22228074519824603,-0.5708827480076105,0.5760811116862654
3022,I19861,F,51.052725,-1.7862875,PASS,2597,1513,0.43876919940100717,0.6190679007214269,-0.446125573744535
3023,I19862,F,51.052725,-1.7862875,PASS,2571,1450,2.393593209472447,0.24488320522415832,-0.45968720027072957
3024,I19863,M,51.052725,-1.7862875,PASS,2352,1167,-0.5884877706527777,0.18989830485900822,0.2300574543343905
3025,I19868,M,51.052725,-1.7862875,PASS,2579,1842,-0.9328102908783954,-0.3455078072066897,-0.7571564051358818
3026,I20585,F,51.7977,-1.313464,PASS,2550,2234,-0.36722780457413556,0.7883649124282793,-0.021559129769642048
3027,I27381,F,50.710999,-2.611068,PASS,2487,1658,1.7196703285862875,1.3593927700812602,-0.2342149208447505
3028,I27382,M,50.710999,-2.611068,PASS,2592,1871,-2.2113868450035747,0.4929784208729825,1.1145411681396036
3029,I27383,F,50.710999,-2.611068,PASS,2522,1416,-0.1892868084092816,0.5960502976672868,0.5863291230271104
3030,I12774,M,53.079803,-1.640942,PASS,2554,1407,1.4990007803511303,1.4370222309824356,0.2230603351605566
3031,I19867,F,51.052725,-1.7862875,PASS,2598,1615,-1.1201227075307547,0.19714644031155945,-0.4981710171143585
3032,I30300,M,51.861211,-1.883011,PASS_PUBLISHED,5575,1633,-0.1571119980364741,-1.9483539534138703,0.6062516125118717
3033,I12772,M,50.539905,-4.997809,PASS,2329,2219,0.5254008302302103,-0.3744770949488526,0.5237349477506665
3036,I16439,F,50.539905,-4.997809,PASS,2329,1666,-0.7678218175222143,1.4127068350218237,-0.13563424670136323
3038,I16441,F,50.539905,-4.997809,PASS,2329,1923,1.3998624819876362,-0.642293977748257,2.049745467622228
3039,I16442,F,50.539905,-4.997809,PASS,2329,1319,0.11058807253404061,2.03503949818174,0.5077737607325612
