species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Bos_indicus,Zebu cattle,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,139615,292738,47.69281746817974,496392,576258,86.14058286392553,0.3994996633847554,0.5395599913524229,NA,NA,NA
Bos_mutus,Wild yak,non_vocal_learner,0,0,NA,NA,NA,NA,NA,NA,146063,305744,47.77297346799937,520678,604054,86.19726050982197,0.4181354436865434,0.5591593180874417,NA,NA,NA
Bos_taurus,Cattle,non_vocal_learner,0,NA,452.8,46100,0.5694847205405472,20,277,10433,147552,307654,47.960371066197744,519688,604034,86.03621650436895,0.4617042404948433,0.5034697418591526,NA,NA,NA
Bubalus_bubalis,Water buffalo,non_vocal_learner,0,1,NA,NA,NA,NA,NA,37500,148689,309905,47.978896758684115,521151,603768,86.31643280200342,0.466011350828335,0.600369510488391,NA,NA,NA
Ammotragus_lervia,Aoudad,non_vocal_learner,0,0,209,110000,0.46021931458375087,20.9,149,4500,146152,308681,47.34726141226703,518798,603916,85.90565575344915,0.31915999131488654,0.4583213808859045,4500,94202.22,0.8615422387773165
Capra_aegagrus,Wild goat,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,142716,303844,46.970155737812824,517163,602906,85.77838004597731,0.23148522566415564,0.4143089993425878,NA,NA,NA
Capra_hircus,Goat,non_vocal_learner,0,1,115,27660,0.46392760470351774,22,155,2250,146475,309098,47.3878834544384,519065,603913,85.95029416488799,0.3286043679681516,0.473757498545423,2136.11,47386.47,0.7630489984192034
Hemitragus_hylocrius,Nilgiri tahr,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,145166,306323,47.38984666512145,518240,602337,86.03821448790295,0.3290608024591167,0.5041606515021808,NA,NA,NA
Ovis_aries,Sheep,non_vocal_learner,0,0,175,55500,0.47278657887817355,22.8,159.9,2376.24,145476,308404,47.17059441511783,518115,603718,85.82069774298596,0.27808599369951736,0.4289426058946544,2376.24,39097.89,0.8645875553777129
Ovis_canadensis,Bighorn sheep,non_vocal_learner,0,NA,NA,NA,NA,19,180,4333.335,146436,308518,47.46432947186226,518563,602674,86.0436985833137,0.34637760002643,0.5060570707359243,4115.85,74644.87,0.8936445952452252
Elaphurus_davidianus,Pere david's deer,non_vocal_learner,0,NA,NA,NA,NA,23,288,11206.25,148812,310028,47.999535525823475,524273,604667,86.70441747275774,0.47080973811031457,0.7345359567128256,10467.5,165989.17,1.0186330082434312
Odocoileus_virginianus,White-tailed deer,non_vocal_learner,0,NA,210,65090,0.4824373968231857,16,198,3000,146425,303902,48.1816506637008,518954,601462,86.28209263428114,0.5131503951634185,0.5884945612614243,2949.99,75901.25,0.7580798931359702
Rangifer_tarandus,Siberian reindeer,non_vocal_learner,0,NA,278,71700,0.503353960217656,20.2,228,5773.67,149290,309604,48.21966124468676,521908,604267,86.37042896600344,0.5219876230439473,0.6190415714735595,5490.62,109088.5,0.8962183108552488
Giraffa_tippelskirchi,Giraffe,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,148199,306658,48.32712663618754,519937,603331,86.17773659898133,0.5469726700842278,0.5524078819319885,NA,NA,NA
Okapia_johnstoni,Okapi,non_vocal_learner,0,0,501,240000,0.5018088704279846,30,458,17375,147918,306152,48.31521597115159,518744,602368,86.11745643858903,0.5442035132231353,0.5315627931764216,18325.61,230001.14,1.1289613257909208
